Id,Answer
6,0
11,0
21,0
23,1
27,0
29,0
42,0
43,0
44,0
45,0
50,0
60,0
62,0
66,0
71,0
72,0
74,0
75,0
76,0
77,0
80,0
82,0
87,0
91,0
94,0
103,0
104,0
107,0
108,0
114,0
116,0
118,0
120,0
121,0
125,0
132,1
136,0
137,0
139,0
140,0
141,0
142,0
145,0
146,0
148,1
149,0
154,0
155,0
158,0
161,0
162,0
166,0
169,0
173,0
176,0
180,0
183,0
185,0
189,0
190,0
198,1
202,0
203,1
205,0
206,1
211,0
221,0
222,1
226,0
229,0
232,0
236,0
240,0
241,0
243,0
244,1
245,0
249,0
251,0
254,0
257,0
258,0
259,0
263,1
269,0
270,0
278,0
286,0
291,0
294,0
302,0
305,0
307,0
311,1
316,0
317,0
320,0
323,0
331,0
332,0
339,0
342,1
344,0
346,0
353,0
355,0
359,0
360,0
362,0
367,0
372,0
373,0
374,0
378,0
380,0
384,0
387,1
390,0
391,0
393,1
403,0
404,1
406,0
408,1
409,0
415,0
417,0
424,0
426,1
427,0
431,0
432,0
434,1
437,0
441,0
443,0
450,0
452,0
453,0
456,0
458,0
461,0
462,0
463,0
465,0
468,1
471,0
473,0
474,0
475,0
481,0
486,0
488,0
491,0
493,0
495,0
496,0
501,0
505,0
506,0
511,0
519,0
521,1
525,0
528,0
530,0
532,0
534,1
537,0
538,0
552,0
555,0
559,0
569,0
570,0
573,1
574,0
575,0
576,0
577,0
578,0
583,0
584,0
586,0
588,1
589,0
593,1
602,0
603,0
605,0
606,0
608,0
620,0
622,0
626,0
630,0
631,0
632,1
639,0
650,0
657,0
658,0
659,0
667,0
668,1
677,0
678,0
684,0
687,0
693,0
694,0
704,1
706,0
709,0
710,0
719,0
722,1
723,0
730,0
736,0
737,0
744,0
745,0
747,0
751,0
753,0
764,0
768,0
769,0
775,0
776,0
777,0
783,0
784,0
786,1
787,0
790,0
793,0
797,0
814,0
815,0
819,0
820,0
824,1
826,0
827,0
830,0
833,0
838,0
839,0
845,0
846,0
850,0
872,1
877,0
878,0
880,0
881,0
887,0
891,0
894,0
898,0
899,0
900,0
904,0
907,0
911,0
922,0
923,0
932,0
934,0
943,0
948,0
951,0
952,0
957,0
959,0
960,0
961,0
962,0
964,0
969,0
972,1
974,0
975,0
977,0
979,0
982,0
987,0
989,1
990,1
991,0
992,0
994,0
997,0
998,0
999,1
1000,0
1006,0
1008,1
1011,0
1012,0
1013,0
1014,0
1015,0
1023,0
1024,0
1026,0
1027,0
1028,0
1031,1
1033,0
1037,0
1038,0
1040,0
1053,0
1059,0
1065,0
1067,0
1070,0
1072,0
1075,0
1076,1
1077,0
1079,0
1080,0
1081,0
1082,0
1083,0
1085,0
1087,0
1090,0
1098,1
1102,1
1106,0
1117,0
1118,0
1120,0
1125,0
1138,0
1140,0
1145,1
1147,0
1149,1
1152,0
1160,1
1165,0
1167,0
1171,0
1173,0
1174,0
1175,0
1183,0
1185,0
1187,0
1189,0
1191,0
1195,0
1199,1
1206,0
1209,0
1212,0
1213,1
1216,1
1217,0
1219,0
1230,1
1233,0
1238,0
1240,0
1244,0
1248,0
1249,0
1253,0
1254,1
1255,0
1257,0
1263,0
1264,0
1266,1
1271,0
1272,0
1274,0
1279,0
1281,0
1282,0
1286,1
1293,0
1294,0
1302,0
1304,0
1308,0
1309,0
1312,0
1321,0
1324,0
1329,0
1340,0
1343,0
1344,0
1346,0
1347,0
1350,0
1351,1
1353,0
1356,0
1362,0
1364,0
1365,0
1366,0
1372,0
1374,0
1376,0
1377,0
1379,0
1385,0
1388,0
1392,1
1400,0
1403,0
1404,0
1405,0
1406,0
1410,0
1412,0
1418,0
1425,0
1428,0
1429,1
1433,0
1434,0
1437,0
1440,1
1452,0
1457,0
1461,0
1464,0
1467,0
1472,0
1476,0
1479,0
1481,0
1487,0
1489,0
1491,0
1494,0
1496,0
1503,1
1510,0
1513,0
1526,0
1527,0
1533,0
1535,0
1538,0
1539,0
1543,0
1544,0
1545,0
1547,0
1551,0
1553,0
1561,0
1562,1
1567,0
1573,0
1579,0
1581,0
1582,0
1590,0
1591,0
1598,0
1600,0
1606,0
1607,0
1608,0
1612,0
1616,1
1618,0
1620,0
1622,0
1624,0
1628,1
1630,0
1639,1
1644,0
1647,0
1649,0
1654,0
1657,0
1660,1
1662,0
1663,0
1666,0
1667,0
1668,0
1677,0
1687,1
1689,0
1690,0
1698,0
1700,0
1702,0
1705,0
1709,1
1710,0
1718,0
1721,0
1725,0
1732,0
1740,0
1742,0
1743,0
1759,0
1760,0
1761,0
1763,0
1764,1
1766,0
1769,1
1775,0
1777,1
1779,1
1783,0
1786,0
1788,0
1791,0
1795,1
1796,0
1798,0
1802,0
1805,0
1822,0
1823,0
1824,0
1829,0
1832,0
1833,0
1840,0
1841,1
1846,0
1849,1
1850,0
1851,0
1856,0
1858,0
1860,0
1861,0
1863,0
1864,0
1867,0
1871,0
1872,0
1874,0
1876,0
1879,0
1882,0
1884,0
1891,0
1892,0
1900,1
1902,0
1905,0
1913,0
1914,0
1923,0
1926,1
1930,0
1935,0
1942,0
1944,0
1947,0
1948,0
1951,0
1953,0
1954,0
1955,0
1959,0
1967,0
1970,0
1972,1
1980,0
1983,1
1987,0
1993,0
1995,0
1998,0
2000,0
2001,0
2006,0
2015,0
2020,0
2026,0
2031,1
2036,0
2043,0
2046,0
2048,1
2052,0
2053,0
2058,0
2061,0
2063,1
2064,0
2069,0
2070,0
2072,0
2078,0
2086,0
2090,0
2091,0
2093,0
2095,1
2097,0
2100,0
2102,0
2103,1
2104,0
2106,1
2107,0
2111,0
2117,0
2123,0
2124,0
2127,0
2132,0
2137,0
2138,0
2139,0
2142,0
2148,0
2149,0
2152,0
2159,0
2161,0
2173,0
2177,0
2184,0
2189,0
2191,0
2194,0
2202,0
2207,0
2210,0
2211,0
2214,0
2220,0
2223,0
2226,0
2227,0
2230,1
2233,0
2237,0
2238,0
2239,0
2243,0
2244,0
2246,0
2247,0
2253,0
2254,0
2257,0
2258,1
2260,0
2263,0
2265,0
2266,0
2270,0
2275,1
2277,0
2279,0
2283,0
2285,0
2286,0
2289,0
2290,1
2295,0
2301,0
